trade,price_enter,price_exit,gross_return,enter_period,exit_period
111,164.06,162.5481,0.990784469096672,15978,15980
112,131.24,139.392,1.0621152087778116,16014,16017
113,129.82,131.7888,1.015165613926976,16178,16180
114,137.91,143.7678,1.0424755275179465,16365,16380
115,138.76,138.79799999999997,1.0002738541366387,16480,16485
116,134.53,132.6204,0.9858053965658217,16582,16583
117,128.72,127.5813,0.9911536668738347,16599,16601
118,128.43,128.35535,0.9994187495133534,16609,16610
119,123.15,123.75,1.004872107186358,16748,16750
120,112.55,112.10285,0.9960270990670813,16761,16762
121,107.88,107.11874999999999,0.9929435483870968,16943,16944
122,113.02,111.5414,0.9869173597593346,17092,17093
123,120.31,120.16014999999999,0.9987544676253012,17098,17099
124,124.18,123.76979999999999,0.9966967305524238,17205,17207
125,128.97,128.6505,0.9975226796929518,17567,17569
126,136.33,137.1348,1.0059033228196288,17604,17606
127,139.39,137.5848,0.9870492861754789,17606,17607
128,135.0,134.64,0.9973333333333332,17617,17620
129,124.68,125.79929999999999,1.0089773820981711,17746,17748
130,117.2,119.78999999999999,1.022098976109215,17923,17927
131,124.28,123.125,0.9907064692629546,17975,17976
132,129.46,130.4919,1.0079708017920592,18081,18100
133,132.46,135.6201,1.023857013438019,18168,18188
134,134.0,133.6797,0.9976097014925372,18203,18213
135,130.76,129.8385,0.9929527378403183,18307,18317
136,133.91,133.056,0.9936225823314168,18440,18446
137,132.4,131.7393,0.9950098187311177,18479,18492
138,131.78,130.977,0.993906510851419,18710,18713
139,126.58,125.3241,0.9900782114078054,18846,18855
140,126.39,127.71,1.010443864229765,18857,18859
141,128.88,128.1654,0.9944553072625699,18862,18864
142,129.77,128.7792,0.9923649533790552,18937,18951
143,126.0,127.16,1.0092063492063492,19071,19091
144,127.51,127.41,0.9992157477844874,19128,19148
145,127.16,129.15540000000001,1.0156920415224915,19195,19214
146,128.3,128.25,0.9996102883865938,19306,19326
147,128.39,127.74,0.9949373004128048,19409,19429
148,127.41,126.6705,0.9941959029903462,19478,19496
149,127.65,126.4626,0.9906980023501761,19541,19547
150,124.11,125.55,1.011602610587382,19583,19603
151,125.55,124.56179999999999,0.9921290322580645,19603,19612
152,121.76,121.47,0.9976182654402102,19913,19933
153,124.15,123.73,0.9966169955698752,20040,20060
154,123.08,122.65,0.9965063373415666,20103,20123
155,123.38,122.95,0.9965148322256444,20144,20164
156,122.43,122.39,0.9996732826921506,20247,20267
157,122.92,124.8588,1.0157728603970062,20286,20299
158,126.82,126.23490000000001,0.9953863743888978,20313,20330
159,127.85,128.2347,1.003008994915917,20405,20414
160,124.77,123.5817,0.9904760759798028,20633,20638
161,124.86,123.7995,0.9915064872657375,20720,20740
162,124.33,123.79,0.9956567200193035,20828,20848
163,121.31,125.99,1.0385788475805786,20932,20952
164,126.99,126.225,0.9939759036144579,20953,20956
165,133.48,132.165,0.9901483368294876,20990,20992
166,123.3,122.16600000000001,0.9908029197080294,21327,21342
167,122.34,122.1,0.9980382540461009,21377,21397
168,107.86,109.0188,1.0107435564620804,21571,21579
169,111.08,110.9592,0.9989124954987396,21643,21649
170,107.83,110.88,1.0282852638412316,21841,21843
171,106.15,105.95644999999999,0.9981766368346677,21923,21924
172,113.54,113.1867,0.9968883212964593,22235,22248
173,114.32,113.3055,0.9911257872638208,22263,22279
174,112.58,110.8913,0.985,22296,22297
175,110.01,110.2761,1.002418871011726,22429,22434
176,109.21,109.52,1.0028385678967129,22509,22529
177,113.43,113.3154,0.9989896852684474,22626,22629
178,114.04,119.5227,1.0480769905296388,22630,22644
179,118.4,118.6218,1.0018733108108107,22992,23004
180,117.51,117.1863,0.9972453408220576,23323,23327
181,117.56,116.4042,0.9901684246342294,23479,23487
182,119.62,118.51289999999999,0.9907448587192775,23525,23527
183,117.37,117.15,0.9981255857544518,23746,23766
184,117.93,117.0378,0.9924344950394302,23848,23866
185,117.54,117.91,1.0031478645567466,23909,23929
186,116.77,116.75,0.9998287231309412,24142,24162
187,117.44,117.31,0.9988930517711172,24216,24236
188,117.9,117.73,0.9985581000848176,24272,24292
189,111.35,110.3355,0.9908890884598114,24787,24791
190,111.24,112.6917,1.0130501618122978,24800,24802
191,114.57,114.6,1.0002618486514794,24912,24932
192,113.91,113.60249999999999,0.9973005003950487,25030,25036
193,115.8,116.19,1.0033678756476685,25183,25203
194,116.61,116.54,0.9993997084298089,25204,25224
195,116.92,116.2953,0.9946570304481697,25312,25317
196,118.07,118.6911,1.0052604387227917,25424,25439
197,116.34,115.47,0.9925219185146983,25597,25617
198,116.7,117.41,1.0060839760068552,25750,25770
199,117.87,118.97,1.0093323152625773,25857,25877
200,119.4,118.89899999999999,0.9958040201005024,25885,25901
201,119.86,121.3938,1.0127965960287002,25993,26004
202,124.65,127.34,1.0215804251905334,26152,26172
203,126.16,125.89,0.9978598604946101,26317,26337
204,131.72,131.6799,0.9996955663528697,26402,26406
205,139.11,137.06275,0.9852832290992738,26419,26420
206,139.3,139.94,1.0045944005743,26777,26797
207,142.72,141.6987,0.9928440302690583,26802,26804
208,134.33,135.19,1.0064021439737958,27129,27149
209,136.1,136.81,1.00521675238795,27151,27171
210,139.56,141.52,1.0140441387216967,27336,27356
211,143.64,142.51964999999998,0.9922002923976608,27363,27364
212,146.88,146.025,0.9941789215686275,27367,27369
213,148.53,148.401,0.999131488588164,27464,27472
214,151.79,150.58890000000002,0.9920870940114634,27504,27506
215,142.42,141.4611,0.9932670973177924,27818,27825
216,143.68,143.352,0.9977171492204899,27834,27839
217,133.71,133.2441,0.9965155934485079,28058,28062
218,121.8,121.51945,0.9976966338259442,28104,28105
219,129.41,129.4326,1.0001746387450738,28165,28167
220,132.18,132.6402,1.0034816159782114,28240,28248
221,133.77,133.3629,0.996956716752635,28396,28410
222,130.17,129.9276,0.9981378197741417,28652,28660
223,131.94,131.24,0.9946945581324845,28770,28790
224,130.18,130.1454,0.9997342141650022,28820,28827
225,129.73,131.44,1.0131812225391197,29019,29039
226,133.77,132.86790000000002,0.9932563355012335,29121,29125
227,132.04,132.0,0.9996970614965163,29211,29231
228,133.7,132.82829999999998,0.9934801795063575,29272,29274
229,130.35,131.91,1.0119677790563866,29416,29436
230,133.22,134.7687,1.0116251313616573,29549,29557
231,136.31,136.07549999999998,0.9982796566649547,29573,29588
232,133.74,133.0164,0.9945895020188424,29828,29846
233,135.96,135.3132,0.9952427184466018,29987,29995
